path	classification	feature
docs/ai/MIGRATION_STREAMING_AND_STAGING_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/MULTI_STAGE_RUNTIME_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/NEW_INSTANCE_CONNECTED_ACTIVATION_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/NON_NEGOTIABLE_RULES.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/NO_TECHNICAL_DEBT_POLICY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/OFFLINE_UPDATE_BUNDLE_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PAYMENT_PROVIDER_ABSTRACTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PHASE_12_SCOPE_CORRECTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PHASE_14_SCOPE_CORRECTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PRIVATE_REGISTRY_AND_PULL_AUTHORIZATION_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PRIVATE_REGISTRY_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PRODUCTION_BACKUP_AND_RESTORE_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PRODUCT_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/PROJECT_CONTEXT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/README.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/RELEASE_BOUNDARIES.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/SAAS_CAPABILITY_UX_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/SAFE_UPDATE_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/SECURITY_HARDENING_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/SECURITY_INVARIANTS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/SOVEREIGNTY_FIRST_CONSTITUTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/STAGE_COMMERCIAL_ENFORCEMENT_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/STAGE_ENTITLEMENT_AND_RETENTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/STAGE_LICENSE_COMMERCIAL_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/STAGE_OPERATION_AUTHORIZATION_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/STAGE_RETENTION_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/TASK_TEMPLATE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/TEST_AND_GATE_POLICY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/TEST_REQUIREMENTS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/UNIFIED_OPERATION_ENGINE_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/ai/UPDATE_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/BACKUP_AND_RESTORE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/BACKUP_DESTINATIONS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/BACKUP_RETENTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/DOMAIN_AND_SSL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/LICENSE_ACTIVATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_ACTIVATION_BEFORE_CUTOVER.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_AUTHORIZATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_AUTHORIZATION_RECOVERY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_CLOSE_ROLLBACK_WINDOW.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_CUTOVER.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_CUTOVER_STATUS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_DATA_TRANSFER.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_DESTINATION_SETUP.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_DNS_SETUP.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_DOMAIN_ABORT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_DOMAIN_PREPARATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_IMMEDIATE_ROLLBACK.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_LANDING_AND_TLS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_PAIRING_AND_READINESS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_PREPARATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_SOURCE_ARCHIVE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_SOURCE_RECOVERY_AFTER_ARCHIVE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_SOURCE_RETIREMENT_STATUS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_STABILIZATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_TOKEN.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_TRANSFER_ABORT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/MIGRATION_TRANSFER_STATUS_AND_RECOVERY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OFFLINE_BUNDLE_INSPECT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OFFLINE_OPERATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OFFLINE_TRUST_PACKAGE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OFFLINE_UPDATE_APPLY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OFFLINE_UPDATE_BUNDLES.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OFFLINE_UPDATE_RECOVERY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OFFLINE_UPDATE_RESULT_RECEIPT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/OPERATIONS_AND_RECOVERY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/RESTORE_AND_RECOVERY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/SAFE_UPDATE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/SAFE_UPDATES.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/SECURITY_VERIFICATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/SERVER_MIGRATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/SOURCE_RETIREMENT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/STAGE_LICENSE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/STAGE_RETENTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/SUPPORT_EXPIRATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/archive/pre-canonical-user/UPDATE_IMAGE_CLEANUP.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/ANNUAL_SUPPORT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/ARTIFACT_AND_SUPPLY_CHAIN.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_CONSISTENCY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_DESTINATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_ENCRYPTION_AND_KEY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_IMPORT_EXPORT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_OBJECT_AND_MANIFEST_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_RESTORE_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_RETENTION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_SCHEDULER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BACKUP_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/BUILD_AND_ASSEMBLY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/CERTIFICATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/CLI_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/CODING_RULES.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/COMPONENT_OWNERSHIP.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/CONCURRENCY_AND_LOCKING.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/CONFIGURATION_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/CONSENT_FLOW.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/DATABASE_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/DEVELOPMENT_SETUP.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/DEVICE_AUTHORIZATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/DIST_ARTIFACT_SECURITY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/DOCKER_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/DOMAIN_SSL_CONTRACT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/DOMAIN_SSL_LIFECYCLE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/ENTITLEMENT_API_CONTRACT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/ENTITLEMENT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/ERROR_AND_STATUS_CODES.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/EXECUTION_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/FAILURE_AND_ROLLBACK.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/GLOSSARY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/IDEMPOTENCY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/INSTALLER_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/LICENSE_GUARD_INTEGRATION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/LICENSE_SLOT_RESERVATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/LICENSING_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_ABORT_AND_RECOVERY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_ADDON_TRANSFER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_ARCHIVE_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_AUTHORIZATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_AUTHORIZATION_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_CHUNK_AND_RESUME_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_COMPENSATION_AND_RECOVERY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_CONFIG_AND_SECRET_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_CUTOVER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_CUTOVER_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DATABASE_TRANSFER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DESTINATION_BOOTSTRAP_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DESTINATION_GO_LIVE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DESTINATION_PRE_CUTOVER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DESTINATION_STAGING_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DNS_VALIDATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DOMAIN_ABORT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DOMAIN_PLAN_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_DOMAIN_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_ENGINE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_FILESTORE_TRANSFER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_FINAL_CUTOVER_SYNC_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_IMMEDIATE_ROLLBACK_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_INTEGRATION_ACTIVATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_LANDING_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_LICENSE_REBIND_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_OFFLINE_AUTHORIZATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_OFFLINE_PAIRING_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_PAIR_OBJECT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_PHASE21_READINESS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_PHASE22_READINESS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_PHASE23_READINESS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_PRODUCTION_DNS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_PRODUCTION_TLS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_READINESS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_RETIREMENT_READINESS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_ROLLBACK_WINDOW_CLOSURE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_ROUTING_READINESS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SIGNED_DNS_CHALLENGE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SIGNED_INSTALLER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_ARCHIVE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_ARCHIVE_RESTORE_TEST_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_ARCHIVE_VERIFICATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_CREDENTIAL_DISPOSITION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_DISCOVERY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_FREEZE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_GRACE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_LICENSE_FINALIZATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_RUNTIME_SUSPENSION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SOURCE_TRANSITION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SPLIT_BRAIN_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_SPLIT_TRAFFIC_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_STABILIZATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_STAGE_CUTOVER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_STAGE_REBIND_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_STAGE_SOURCE_ARCHIVE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_STAGE_TRANSFER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TLS_PREPARATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TOKEN_ATOMIC_TRANSACTION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TRAFFIC_OWNER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TRANSFER_ABORT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TRANSFER_MANIFEST_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TRANSFER_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TRANSFER_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/MIGRATION_TRUST_PAIRING_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/NETWORK_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/NEW_COMMAND_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/NGINX_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/NGINX_CERTIFICATE_OWNERSHIP_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_ADDON_PACKAGING_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_BUNDLE_FORMAT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_BUNDLE_ISSUANCE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_BUNDLE_SECURITY_THREAT_MODEL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_BUNDLE_SIGNING_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_COMPATIBILITY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_IMPORT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_RECONCILIATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_REGISTRY_EXPORT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_RESULT_RECEIPT_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_TRUST_AND_REVOCATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_UPDATE_APPLY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_UPDATE_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OFFLINE_UPDATE_ROLLBACK_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OPERATION_CANONICAL_SYNC_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OPERATION_CONFLICT_AND_LOCKING_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OPERATION_ENGINE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/OPERATION_STATE_MIGRATION_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/PAYMENT_AND_GRANT_ABSTRACTION.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/PHASE25_READINESS_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/PRIVATE_REGISTRY_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/PRODUCTION_RESTORE_PROTOCOL.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/QUARANTINE_ARCHITECTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/README.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/REGISTRY_GATEWAY.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/REGISTRY_LOCKDOWN.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/RELEASE_BOUNDARIES.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/RELEASE_PROCESS.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/REPOSITORY_LAYOUT.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/REPOSITORY_STRUCTURE.md	CANONICAL_DOCUMENTATION	canonical-docs
docs/dev/RESOURCE_OWNERSHIP.md	CANONICAL_DOCUMENTATION	canonical-docs
